Tytuł,Opis,Cena,Metraż
Grunwald,MIESZKANIE PRZY PARKU 2 POKOJENiezwykle komfortowe i funkcjonale mieszkanie w świetnej lokalizacji przy parku z widokiem na zieleń i gotowe do wprowadzenia Na sprzedaż mieszkanie o powierzchni niemal 45 m² położone na ostatnim piętrze nowoczesnego budynku w wyjątkowej lokalizacji tuż przy parku Inwestycja Rembertowska,371360,45.0
Grunwald,Złoto Welur i Zieleń Gotowe 53m2 Parter GrunwaldSprzedam BEZPOŚREDNIO Przestronne mieszkanie po kapitalnym remoncie 53 m² Poznań ul Raszyńska 9 Pomagam również w uzyskaniu kredytu hipotecznego w niecały miesiąc Na sprzedaż komfortowe i funkcjonalne mieszkanie o powierzchni 53 m² położone na parterze niskiego estetycznego i ocieplonego,482200,53.0
Piątkowo,Mieszkanie przy ŻurawińcuPolecam na sprzedaż wyjątkowe elegancko zaprojektowane mieszkanie na osiedlu Stefana Batorego w Poznaniu Mieszkanie znajduje się na parterze 5kondygnacyjnego budynku z lat 90tych o powierzchni 6130 m² Mieszkanie oferuje trzy komfortowe pokoje przestronną kuchnię korytarz łazienkę oraz,619000,61.0
Kalisz,Sprzedam odnowione mieszkanie 4642 m2 z garażem w Śródmieściu KaliszaSprzedam mieszkanie 4642 m2 Mieszkanie znajduje się w Kaliszu przy ulicy Złotej między Ciasną i Chopina w bloku z cegły chronionym domofonem znajdujące się na I piętrze nad wysokim parterem z balkonem od ulicy Złotej Wnętrza są wyremontowane z nową instalacją wod kan i elektryczną Ściany,599000,46.0
Zalasewo,Radosna Zalasewo GOTOWE mieszkanie do zamieszkania bezpośrednio od DeweloperOferta sprzedaży mieszkania zlokalizowanego w Zalasewie przy ul Radosnej 23A6 Szukasz idealnego miejsca do życia To mieszkanie jest właśnie dla Ciebie Nowoczesne przestronne i gotowe do zamieszkania zapewni Ci wszystko czego potrzebujesz Deweloper Agrobex oferuje na sprzedaż dostępne od,1015065,43.0
Grunwald,wykończone po generalnym remoncie 3 pokoje 55m2Oferujemy na sprzedaż atrakcyjne mieszkanie o powierzchni 55 m² znajdujące się na 3 piętrze 4piętrowego bloku z cegły Nieruchomość przeszła generalny remont dzięki czemu jest w idealnym stanie i gotowe do zamieszkania Mieszkanie składa się z trzech przestronnych pokoi co stwarza wiele,403000,55.0
Ziębicka 30,Najważniejsze atuty Wysoki standard wykończenia Dobra lokalizacja Nowoczesna architektura i przestronne korytarze Rolety elektryczne i ogrzewanie podłogowe w łazienkach Ziębicka 30 w skrócie Inwestycja w ramach której wybudowany został jeden budynek z dwiema nowoczesnymi klatkami,495000,41.0
Skórzewo,2 pokojowe nowoczesne mieszkanie z balkonem wysoki standard z balkonemNa sprzedaż 2 pokojowe mieszkanie wysoki standard Wyobraź sobie poranek w mieszkaniu które łączy nowoczesność funkcjonalność i świetną lokalizację Budzisz się w przytulnej sypialni otwierasz rolety i wpuszczasz do wnętrza naturalne światło W nowoczesnej kuchni przygotowujesz poranną,630000,44.0
Ziębicka 30,Dwa miejsca postojowe rodzinne w hali garażowej w cenie mieszkania Najważniejsze atuty Wysoki standard wykończenia Dobra lokalizacja Nowoczesna architektura i przestronne korytarze Rolety elektryczne i ogrzewanie podłogowe w łazienkach Ziębicka 30 w skrócie Inwestycja w ramach której,399000,75.0
Czerwonak,Sprzedam mieszkanie Spokojne i przyjazne osiedleSprzedam bardzo ładne ustawne mieszkanie 3 pokojowe 47m2 w Czerwonaku przy ul Słonecznej Mieszkanie położone jest w bardzo dobrej lokalizacji gdyż w sąsiedztwie ok 100m znajduje się przystanek komunikacji miejskiej oraz PKP 15min do centrum Poznania W odległości ok 200m znajduje się,640000,47.0
ul Unii Lubelskiej 10,Najważniejsze atuty Szeroki wybór mieszkań od kawalerek po 4pokojowe Siedem lokali usługowych na parterze budynku Atrakcyjna lokalizacja w poznańskiej dzielnicy Starołęka Bliskość terenów zielonych Dobra komunikacja dzięki sąsiedztwu pętli tramwajowej Unii Lubelskiej Vita w skrócie,655000,45.0
ul Jackowskiego,Najważniejsze atuty Kolejny etap cieszącej się uznaniem inwestycji Ściany wewnętrzne i zewnętrzne w strefie wejściowej inwestycji będą zdobione mozaikami przypominającymi o mieszczących się tu dawniej zakładach odzieżowych Modena Rewitalizacja drugiej części zabytkowej alei ponad,689000,41.0
Piątkowo,ładne mieszkanie w świetnej lokalizacjiSprzedam bardzo ładne mieszkanie 3 pokojowe w świetnej lokalizacji 3 minuty do przystanku PST Mieszkanie jest w bloku z 2005 r w którym są dwie duże windy Mieszkanie ma duży balkon kształt litery L od cichej strony osiedla Salon z oknami od wschodu i południa kuchnia 2 sypialnie od,519000,65.0
Rataje,Sprzedam 2 pokojowe mieszkanie os Piastowskie 12 RatajeNa sprzedaż 2 pokojowe mieszkanie z balkonem wystawa okien wschodnia o powierzchni 437 m2na pierwszym piętrze na os Piastowskim przystanek przed Rondem Rataje Mieszkanie składa się z pokoju z otwartą kuchnią sypialni z balkonem łazienki i korytarza Do lokalu mieszkalnego przynależy,323100,43.0
Piła,Nowe 2 pokoje ostatnie piętroMieszkanie do obejrzenia będzie dostępne w okolicach maja Obecnie trwają końcowe odbiory inwestycji Przedmiotem sprzedaży jest optymalne 2 pokojowe kompaktowe mieszkalny o powierzchni 347 m2 Mieszkanie jest w stanie deweloperskim Mieszkanie składa się z salonu z aneksem kuchennym,330000,34.0
Skoki,Sprzedam mieszkanieSprzedam mieszkanie bezczynszowe w Skokach Mieszkanie dwupokojowe każdy pokój ok 16 m kuchnia 12 m łazienka 45 m skrytka 15 m przynależna piwnica 10 m Ogrzewanie gazowe możliwość grzania kominkiem Można również wynajć lub kupić garaż na terenie posesji Świetna lokalizacja 3 minuty do,489000,56.0
Konin,Sprzedam mieszkanieSprzedam stylowe i funkcjonalne czteropokojowe mieszkania w Koninie na renomowanym osiedlu Chorzeń przy ulicy Makowej Jest to dobra oferta dla osób ceniących sobie wygodę i udogodnienia ogromnym atutem są niewątpliwie rolety zewnętrzne sterowane pilotem oraz klimatyzacja Mieszkanie usytuowane,1868313,75.0
Stare Miasto,Luksusowy apartament na Starym Mieście w PoznaniuSaint Martin Residence przy ulicy Podgórnej 7 to unikatowa inwestycja powstająca na obszarze dawnych ogrodów willi Hipolita Cegielskiego Będąc zaledwie kilkadziesiąt metrów od Starego Rynku ul Półwiejskiej i ŚwMarcin zapewnia niespotykane połączenie spokoju i odpoczynku od miejskiego zgiełku,790000,108.0
Grochowe Łąki,Grochowe Łąki 657 m² 6 piętro 2 pokoje windaPrzestronne i stylowe mieszkanie w sercu Poznania ul Grochowe Łąki 657 m² 6 piętro 2 pokoje Szukasz wyjątkowego miejsca do zamieszkania w centrum Poznania To mieszkanie to połączenie nowoczesnego komfortu doskonałej lokalizacji i kameralnej atmosfery Najważniejsze atuty Przestrzeń i,349900,65.0
Głuszyna,OkazjaWysokie mieszkanie 497m2 na 1 p w PoznaniuO K A Z J A Na sprzedaż DWUSTRONNE mieszkanie 2POKOJOWE z OSOBNĄ KUCHNIĄ i łazienką o metrażu 497m2 Mieszkanie położone na 1 PIĘTRZE W cenie przynależna PIWNICA dodatkowe 6 m2 Położone w POZNANIU przy ulicy Głuszyna Mieszkanie bardzo WYSOKIE sufity na wysokości 294 cm Niezależny,703768,49.0
ul Miśnieńska 37,Najważniejsze atuty Unikalny wieloetapowy projekt mieszkaniowy spełniający różnorodne oczekiwania Specjalne strefy zieleni miejsca relaksu obszerne place zabaw dla dzieci i punkty handlowousługowe Na osiedlu planowane jest również powstanie przedszkola i supermarketu Ogródki,832416,69.0
ul Miśnieńska 37,Najważniejsze atuty Unikalny wieloetapowy projekt mieszkaniowy spełniający różnorodne oczekiwania Specjalne strefy zieleni miejsca relaksu obszerne place zabaw dla dzieci i punkty handlowousługowe Na osiedlu planowane jest również powstanie przedszkola i supermarketu Ogródki,599000,80.0
Osiedle Bolesława Śmiałego,Piątkowo Bolesława Śmiałego 64m2 niski blokPrzestronne mieszkanie 64 m² na Piątkowie idealne dla rodziny Zapraszam do zapoznania się z ofertą wyjątkowego 2pokojowego mieszkania o powierzchni 639 m² położonego na 3 piętrze niskiego bloku na osiedlu Bolesława Śmiałego w dzielnicy Piątkowo Funkcjonalny układ pierwotnie 3 pokoje,699000,64.0
Wilkońskich,Najważniejsze atuty Dogodna komunikacja z resztą Poznania Bliskość poznańskich uniwersytetów Sąsiedztwo terenów zielonych Funkcjonalne i wygodne w aranżacji mieszkania Żeromskiego w skrócie Siedmiopiętrowy budynek w którym znajdzie się 130 mieszkań liczących od 28 do 76 m kw Lokale,759999,52.0
Grunwald,GOTOWY KOMFORTOWY APARTAMENT 3POK WINDA GARAŻ POZNAŃ GRUNWALDOferujemy Państwu do nabycia przestronne słoneczne środkowe nowocześnie urządzone mieszkanie 3 pokojowe o powierzchni 5872 m2 położone na II PIĘTRZE w apartamentowcu z windą ISTNIEJE MOŻLIWOŚĆ USUNIĘCIA ŚCIANKI TELEWIZYJNEJ Właściciel mieszkania może ją usunąć na własny koszt Komfortowy,463349,58.0
ul Mikołaja Kopernika,Najważniejsze atuty Lokalizacja w sąsiedztwie zabytkowego parku dworskiego Mieszkania o zróżnicowanych metrażach Ogródki oraz balkony przynależne do lokali Nowoczesna architektura i przemyślane rozwiązania projektowe Osiedle Gwiazdowo w skrócie Kolejny etap realizacji Osiedla Gwiazdowo w,619642,36.0
os Lotnictwa Polskiego 12,W cenie każdego mieszkania zawarte jest pomieszczenie gospodarcze Najważniejsze atuty Mieszkania gotowe do odbioru w zrealizowanym budynku Świetna lokalizacja Bliskość terenów zielonych Bogata oferta placówek edukacyjnych i ośrodków akademickich w pobliżu Osiedle Lotnictwa Polskiego w,745000,33.0
os Lotnictwa Polskiego 12,W cenie każdego mieszkania zawarte jest pomieszczenie gospodarcze Najważniejsze atuty Mieszkania gotowe do odbioru w zrealizowanym budynku Świetna lokalizacja Bliskość terenów zielonych Bogata oferta placówek edukacyjnych i ośrodków akademickich w pobliżu Osiedle Lotnictwa Polskiego w,465000,45.0
Naramowice,Polecam na sprzedaż nowoczesne 3pokojowe mieszkanie o powierzchni 615 m² zlokalizowane na 1 piętrze w 4 piętrowym bloku na poznańskich Naramowicach Mieszkanie wykończone w wysokim standardzie z dużym balkonem oraz funkcjonalnym układem pomieszczeń gotowe do wprowadzenia Układ mieszkania,249000,61.0
Łazarz,Polecam na sprzedaż 2pokojowe mieszkanie o powierzchni 466m² zlokalizowane na Poznańskim Łazarzu Mieszkanie znajduje się na 3 piętrze w budynku wielorodzinnym Opis mieszkania Mieszkanie jest funkcjonalnie zaprojektowane i składa się z salonu z dużymi oknami które zapewniają naturalne,799000,46.0
Zwycięstwa,MIESZKANIE 2 POKOJOWE II PIĘTRO LESZNO ZWYCIĘSTWAOferujemy Państwu do nabycia 2 pokojowe mieszkanie o powierzchni 3470 m2 położone na II piętrze w bloku po przeprowadzonej termomodernizacji Na powierzchnię mieszkania składają się pokój dzienny sypialnia kuchnia łazienka przedpokój Powierzchnię dodatkową stanowi przynależna,399000,34.0
Wilkońskich,Najważniejsze atuty Dogodna komunikacja z resztą Poznania Bliskość poznańskich uniwersytetów Sąsiedztwo terenów zielonych Funkcjonalne i wygodne w aranżacji mieszkania Żeromskiego w skrócie Siedmiopiętrowy budynek w którym znajdzie się 130 mieszkań liczących od 28 do 76 m kw Lokale,321300,72.0
Kosmonautów,2 pokojekosmonautówdo remontuoddzielna kuchniaZapraszam do zapoznania się z ofertą sprzedaży funkcjonalnego mieszkania o powierzchni 381m² zlokalizowanego na os Kosmonautów w Poznaniu jest to idealna propozycja dla osób poszukujących przestrzeni do odświeżenia które chcą dostosować mieszkanie do własnych potrzeb i stylu życia,439725,38.0
Szpitalna,Najważniejsze atuty Lokalizacja blisko zieleni i w sąsiedztwie rozwiniętej infrastruktury Zróżnicowane warianty mieszkań Wewnętrzny plac zabaw na osiedlu Ładowarki do aut elektrycznych Ostoja Przylesie w skrócie Inwestycję tworzą dwa budynki w których łącznie znajdzie się 195 mieszkań,809600,27.0
os Lotnictwa Polskiego 12,W cenie każdego mieszkania zawarte jest pomieszczenie gospodarcze Najważniejsze atuty Mieszkania gotowe do odbioru w zrealizowanym budynku Świetna lokalizacja Bliskość terenów zielonych Bogata oferta placówek edukacyjnych i ośrodków akademickich w pobliżu Osiedle Lotnictwa Polskiego w,647658,27.0
gen Tadeusza Kutrzeby,Komfortowe mieszkanie położone w zamkniętym kompleksie ATANER w Poznaniu przy ulicy Kutrzeby z ochroną i monitoringiem Mieszkanie z widokiem na Cytadelę kilka minut do Centrum Osiedle zamknięte strzeżone i monitorowane z dostępem mieszkańców do sali fitness Mieszkanie jest usytuowane na,459000,50.0
ul Miśnieńska 37,Najważniejsze atuty Unikalny wieloetapowy projekt mieszkaniowy spełniający różnorodne oczekiwania Specjalne strefy zieleni miejsca relaksu obszerne place zabaw dla dzieci i punkty handlowousługowe Na osiedlu planowane jest również powstanie przedszkola i supermarketu Ogródki,339000,65.0
Grunwaldzka,Zamieszkaj w sercu Grunwaldu wygoda i dostępnośćSzukasz mieszkania w sercu Grunwaldu Zależy Ci na świetnej lokalizacji gotowym układzie i możliwości szybkiego wprowadzenia się lub kontynuowania najmu A może szukasz nieruchomości inwestycyjnej generującej pasywny dochód Mam przyjemność zaprezentować Ci komfortowe jasne mieszkanie o,999000,40.0
Pod Lipami,Funkcjonalna kawalerka na WinogradachNa sprzedaż kawalerka 27 m² Winogrady os Pod Lipami Idealna pod wynajem Na sprzedaż funkcjonalna kawalerka o powierzchni 27 m² położona na parterze wysokiego bloku na osiedlu Pod Lipami jednej z najbardziej pożądanych lokalizacji w poznańskich Winogradach Lokalizacja Rewelacyjne,525000,27.0
Grobla,Wyjątkowe mieszkanie centrum Poznania ul GroblaWyjątkowe mieszkanie centrum Poznania ul Grobla 865m2 3 piętro 3pok Zapraszam do zapoznania się z ofertą sprzedaży szczególnej nieruchomości położonej w sercu Poznania położonej przy ul Grobli Jeżeli poszukują Państwo mieszkania w centrum miasta a zarazem w bocznej i cichej ulicy,629000,86.0
Kosmonautów,Przestronne Funkcjonalne Inwestycja CiszaPrzestronne mieszkanie 649 m² idealne dla rodziny lub jako inwestycja Na sprzedaż funkcjonalne i komfortowe mieszkanie o powierzchni 649 m² położone na ostatnim 4tym piętrze zadbanego ocieplonego bloku na zielonym i spokojnym osiedlu Kosmonautów w Poznaniu Idealne dla rodziny pary jak,669000,64.0
Stefana Batorego,3pokojowe mieszkanie Os BatoregoMam przyjemność zaprezentować przestronne i jasne mieszkanie o powierzchni 6310 m² które znajduje się na 4 piętrze budynku z 1989 roku To miejsce ma wszystko czego można oczekiwać od wygodnego i funkcjonalnego lokum świetny układ pomieszczeń staranne wykończenie i doskonałą lokalizację,685000,63.0
Szpitalna,Najważniejsze atuty Lokalizacja blisko zieleni i w sąsiedztwie rozwiniętej infrastruktury Zróżnicowane warianty mieszkań Wewnętrzny plac zabaw na osiedlu Ładowarki do aut elektrycznych Ostoja Przylesie w skrócie Inwestycję tworzą dwa budynki w których łącznie znajdzie się 195 mieszkań,403620,43.0
Jana Umińskiego,3 pokoje piwnica garaż balkonZapraszamy Cię do zapoznania się z ofertą ustawnego mieszkania trzypokojowego na Poznańskiej Wildzie ul Spychalskiego 37 inwestycja Vilda Moderne z 2024 Rzut mieszkania dostępny w galerii zdjęć Na życzenie udostępnię również wideo prezentujące nieruchomość Zapraszam do kontaktu ATUTY,866580,65.0
os Lotnictwa Polskiego 12,W cenie każdego mieszkania zawarte jest pomieszczenie gospodarcze Najważniejsze atuty Mieszkania gotowe do odbioru w zrealizowanym budynku Świetna lokalizacja Bliskość terenów zielonych Bogata oferta placówek edukacyjnych i ośrodków akademickich w pobliżu Osiedle Lotnictwa Polskiego w,665738,51.0
Włoszakowice,Nowe urządzone Gotowe mieszkanie WłoszakowiceOferuję na sprzedaż nowe 3 pokojowe mieszkanie o powierzchni 5940m2 znajdujące się we Włoszakowicach na ul Topolowej Mieszkanie mieści się na piętrze w budynku wielorodzinnym Mieszkanie posiada duży balkon oraz rolety zewnętrzne sterowane elektrycznie Wybudowane i wykończone w nowoczesnym,369000,59.0
Jeżyce,STYLOWA kawalerka DO ZAMIESZKANIA od zaraz w nowej części JEŻYCPrzedmiotem sprzedaży jest gotowe do zamieszkania od zaraz 1 pokojowe mieszkanie o powierzchni 2949 m2 z balkonem skierowanym na wewnętrzny zielony dziedziniec Kawalerka zlokalizowana jest na pierwszym piętrze w nowym bloku ukończonym w 2024 roku przy ul Barańczaka na osiedlu FAMA JEŻYCE,469000,29.0
Jeżyce,Mieszkanie Modena Poznań parking z ładowarkąMieszkanie o powierzchni 39 m2 w ramach inwestycji klasy premium pn Modena na poznańskich Jeżycach Złożone z dwóch pomieszczeń salonu z aneksem kuchennym oraz sypialni Do mieszkania przyporządkowane jest miejsce parkingowe w garażu podziemnym przystosowane do montażu samochodowej,699000,39.0
ul Szymborskiej,Najważniejsze atuty Kameralny charakter osiedla Bezpośrednie sąsiedztwo zabytkowego parku Szybki dojazd do Poznania Funkcjonalne układy mieszkań Ekologiczne rozwiązania technologiczne Kleszczewo Park w skrócie Osiedle Kleszczewo Park powstaje w kilku etapach W pierwszym z nich,720000,52.0
ul Szymborskiej,Najważniejsze atuty Kameralny charakter osiedla Bezpośrednie sąsiedztwo zabytkowego parku Szybki dojazd do Poznania Funkcjonalne układy mieszkań Ekologiczne rozwiązania technologiczne Kleszczewo Park w skrócie Osiedle Kleszczewo Park powstaje w kilku etapach W pierwszym z nich,449000,60.0
ul Staszica 24,Najważniejsze atuty Drugi etap inwestycji Bloki wyposażone w instalacje fotowoltaiczne Miejsca postojowe w hali garażowej i komórki lokatorskie Wyjątkowo korzystna lokalizacja Staszica budynek A w skrócie Kolejny etap realizacji inwestycji która składać się będzie z trzech,599000,59.0
Piątkowo,Wyjątkowe mieszkanie na osSobieskiegoSprzedam mieszkanie 619 mkw świeżo po kapitalnym remoncieDo mieszkania przynależy skrytka o powierzchni 370 mkw na półpiętrze oraz piwnica o powierzchni 180 mkw wykazane w księdze wieczystej lokalu Skrytka i piwnica dodatkowo płatne 20000 zł Zakup obligatoryjny W pokojach 22 mkw 11,999000,61.0
Rogoźno,Mieszkanie z dużym garażemPrzedstawiam Państwu gotowe w części wyposażone mieszkanie na 1 piętrze w kamienicy w Rogoźnie w którego skład wchodzi korytarz klatka schodowa kuchnia 2 łazienki 4 pokoje oraz 2 skrytki o łącznej powierzchni 102 m2 Mieszkanie posiada również 2 balkony jeden mniejszy od strony,246000,102.0
Macieja Palacza,3 pokoje po remoncie GrunwaldZapraszam do zapoznania się z ofertą sprzedaży 3 pokojowego mieszkania na Grunwaldzie Mieszkanie o powierzchni 48m2 usytuowane na 6 piętrze bloku przy ulicy Palacza Opis mieszkania salon z aneksem kuchennym i wyjściem na balkon typu loggia sypialnia pokój łazienka Ogrzewanie miejskie,660000,48.0
Objezierze,Syndyk sprzeda z wolnej ręki lokal mieszkalny w ObjezierzuSyndyk masy upadłości Borysa Lichosika osoby fizycznej nieprowadzącej działalności gospodarczej sygn akt PO1PGUps11162024 ogłasza sprzedaż z wolnej ręki prawa własności nieruchomości lokalowej mieszkalnej Ogólne warunki sprzedaży 1 Przedmiotem sprzedaży jest prawo własności,470580,54.0
Grunwald,Sprzedam mieszkanie 2 pokojowe z balkonem i miejscem postojowym w hali garażowejPosiadam mieszkanie do sprzedania Dwa pokoje wydzielona kuchniałazienka korytarz i duży balkonMieszkanie po odnowieniu,410000,55.0
Swarzędz,Kawalerka na wynajem w Swarzędzu na ul CybińskiejWynajmę kawalerkę wyposażoną w aneks kuchenny sprzęty AGD lodówka zmywarka płyta indukcyjna meble w zabudowie na korytarzu łazienkę z prysznicem i pralką Mieszkanie jest nowe posiada dodatkowe zamykane pomieszczenie gospodarcze 25 m2 obok mieszkania oraz miejsce postojowe Do ceny,649000,34.0
Parkowa,Promocyjna cena Parkowa 6B3PARKOWA 6B MIESZKANIE NR 3 Cena promocyjna 470 580 zł poprzednia cena z ostatnich 30 dni 497 860 zł Mieszkanie trzypokojowe gotowe do odbioru Składa się z przedpokoju pokoju z aneksem kuchennym dwóch sypialni łazienki garderoby ATUTY Umiejscowienie na parterze oraz,419760,68.0
Junacka,ul Junacka 37 mkw 2 pokojeZapraszam do zapoznania się z ofertą sprzedaży mieszkania położonego przy ul Junackiej na Poznańskim Grunwaldzie Atrakcyjna lokalizacja zapewnia ciszę i spokój oraz dostęp do infrastruktury handlowousługowej oraz komunikacyjnej Mieszkanie o powierzchni 3716 mkw położone jest na pierwszym,410000,37.0
Robocza,2 pok mieszkanie2pokojowe mieszkanie w centrum Poznania ul RoboczaWilda Poznań Lokalizacja Centrum Poznania ul Robocza 3 Powierzchnia 52 m² Pokoje 2 niezależny układ Piętro Wysoki parter Rok budowy 2014 Cena 649 000 zł Czynsz do administracji 718 zł w tym CO woda śmieci utrzymanie części,519870,52.0
