gratka_mieszkania
Tytuł;Opis;Cena;Metraż
os. Lotnictwa Polskiego 12;W cenie każdego mieszkania zawarte jest pomieszczenie gospodarcze. Najważniejsze atuty ✅ Mieszkania gotowe do odbioru w zrealizowanym budynku ✅ Świetna lokalizacja ✅ Bliskość terenów zielonych ✅ Bogata oferta placówek edukacyjnych i ośrodków akademickich w pobliżu Osiedle Lotnictwa Polskiego w...;1050000.0;24
os. Lotnictwa Polskiego 12;W cenie każdego mieszkania zawarte jest pomieszczenie gospodarcze. Najważniejsze atuty ✅ Mieszkania gotowe do odbioru w zrealizowanym budynku ✅ Świetna lokalizacja ✅ Bliskość terenów zielonych ✅ Bogata oferta placówek edukacyjnych i ośrodków akademickich w pobliżu Osiedle Lotnictwa Polskiego w...;826000.0;27
Serbska;Serbska|wysoki standard|miejsce parkingowe w ceniePrzestronne , dwupokojowe mieszkanie na osiedlu Nowych Kosmonautów - gotowe do zamieszkania ! Przedmiotem ogłoszenia jest jasne i ustawne mieszkanie o powierzchni 44 m², usytuowane na trzecim piętrze nowego budynku przy ul. Serbskiej, na osiedlu Nowych Kosmonautów. Mieszkanie jest gotowe do...;549000.0;44
Wilkońskich;Najważniejsze atuty ✅ Dogodna komunikacja z resztą Poznania ✅ Bliskość poznańskich uniwersytetów ✅ Sąsiedztwo terenów zielonych ✅ Funkcjonalne i wygodne w aranżacji mieszkania Żeromskiego w skrócie Siedmiopiętrowy budynek, w którym znajdzie się 130 mieszkań, liczących od 28 do 76 m kw. Lokale...;699000.0;78
Wierzbowa;Sprzedam 2 apartamenty typu studio Willa Wierzbowa Stare Miasto PoznańNa sprzedaż 2 niezależne apartamenty typu studio w samym sercu Poznania przy ul. Wierzbowej. Nieruchomość z 2011 roku pod budynkiem hala garażowa, zamykane podwórko, całodobowy monitoring. Łączna powierzchnia lokali 79,10 m2 każdy z nich ma urządzony i wyposażony aneks kuchenny, wygodne łazienki...;535908.0;79
Wągrowiec;2- poziomowe mieszkanie w centrum Wągrowca z własnym garażem i piwnicą2-poziomowe mieszkanie w bloku o powierzchni 86,2 m². Powierzchnia całkowita z garażem i piwnicą zapisana w KW, to 125,7 m2 Rozkład mieszkania: 1. Na parterze: · Przestrzenna kuchnia, · Salon z jadalnią (przestronne okna, panele podłogowe) - można podzielić na 2 pokoje. · Funkcjonalna toaleta z...;630000.0;86
Jeżyce;3 pokoje | Jeżyce | stylowe mieszkanie po remoncieSzukasz mieszkania, które łączy nowoczesny komfort, rozkładowy układ i topową lokalizację na prestiżowych Jeżycach? Ta oferta jest właśnie dla Ciebie! Mieszkanie przeszło kompleksową modernizację i czeka na nowego właściciela, który doceni jego wyjątkowe walory. To mieszkanie jest dla Ciebie, bo:...;556000.0;51
ul. Bielicowa 2;Najważniejsze atuty ✅ Przestronne i wysokie mieszkania ✅ Zielone patio stanowiące serce inwestycji ✅ Korzystna lokalizacja zaledwie 5,2 km od centrum Poznania ✅ Pełna zieleni i spokoju okolica Osiedle Witaj w skrócie Drugi etap Osiedla Witaj to propozycja dla osób poszukujących komfortowych i...;699000.0;52
Grunwald;MIESZKANIE PRZY PARKU 2 POKOJENiezwykle komfortowe i funkcjonale mieszkanie w świetnej lokalizacji przy parku - z widokiem na zieleń i gotowe do wprowadzenia Na sprzedaż mieszkanie o powierzchni niemal 45 m², położone na ostatnim piętrze nowoczesnego budynku, w wyjątkowej lokalizacji, tuż przy parku. Inwestycja Rembertowska...;371360.0;45
Grunwald;Złoto Welur i Zieleń Gotowe 53m2 Parter GrunwaldSprzedam BEZPOŚREDNIO! Przestronne mieszkanie po kapitalnym remoncie – 53 m², Poznań, ul. Raszyńska 9 Pomagam również w uzyskaniu kredytu hipotecznego w niecały miesiąc Na sprzedaż komfortowe i funkcjonalne mieszkanie o powierzchni 53 m², położone na parterze niskiego, estetycznego i ocieplonego...;482200.0;53
Piątkowo;Mieszkanie przy ŻurawińcuPolecam na sprzedaż wyjątkowe, elegancko zaprojektowane mieszkanie na osiedlu Stefana Batorego w Poznaniu. Mieszkanie znajduje się na parterze 5-kondygnacyjnego budynku z lat 90-tych, o powierzchni 61,30 m². Mieszkanie oferuje trzy komfortowe pokoje, przestronną kuchnię, korytarz, łazienkę oraz...;619000.0;61
Kalisz;Sprzedam odnowione mieszkanie 46,42 m2 z garażem w Śródmieściu KaliszaSprzedam mieszkanie 46,42 m2 Mieszkanie znajduje się w Kaliszu przy ulicy Złotej między Ciasną i Chopina w bloku z cegły chronionym domofonem znajdujące się na I piętrze nad wysokim parterem z balkonem od ulicy Złotej. Wnętrza są wyremontowane, z nową instalacją wod.- kan. i elektryczną. Ściany...;599000.0;46
Zalasewo;Radosna, Zalasewo - GOTOWE mieszkanie do zamieszkania, bezpośrednio od DeweloperOferta sprzedaży mieszkania zlokalizowanego w Zalasewie przy ul. Radosnej 23A/6 Szukasz idealnego miejsca do życia? To mieszkanie jest właśnie dla Ciebie! Nowoczesne, przestronne i gotowe do zamieszkania – zapewni Ci wszystko, czego potrzebujesz! Deweloper Agrobex oferuje na sprzedaż dostępne od...;1015065.0;43
Grunwald;wykończone po generalnym remoncie 3 pokoje 55m2Oferujemy na sprzedaż atrakcyjne mieszkanie o powierzchni 55 m², znajdujące się na 3. piętrze 4-piętrowego bloku z cegły. Nieruchomość przeszła generalny remont, dzięki czemu jest w idealnym stanie i gotowe do zamieszkania. Mieszkanie składa się z trzech przestronnych pokoi, co stwarza wiele...;403000.0;55
Ziębicka 30;Najważniejsze atuty ✅ Wysoki standard wykończenia ✅ Dobra lokalizacja ✅ Nowoczesna architektura i przestronne korytarze ✅ Rolety elektryczne i ogrzewanie podłogowe w łazienkach Ziębicka 30 w skrócie Inwestycja, w ramach której wybudowany został jeden budynek z dwiema nowoczesnymi klatkami...;495000.0;41
Skórzewo;2 pokojowe nowoczesne mieszkanie z balkonem, wysoki standard z balkonemNa sprzedaż 2 - pokojowe mieszkanie, wysoki standard. Wyobraź sobie poranek w mieszkaniu, które łączy nowoczesność, funkcjonalność i świetną lokalizację. Budzisz się w przytulnej sypialni, otwierasz rolety i wpuszczasz do wnętrza naturalne światło. W nowoczesnej kuchni przygotowujesz poranną...;630000.0;44
Ziębicka 30;Dwa miejsca postojowe (rodzinne) w hali garażowej w cenie mieszkania Najważniejsze atuty ✅ Wysoki standard wykończenia ✅ Dobra lokalizacja ✅ Nowoczesna architektura i przestronne korytarze ✅ Rolety elektryczne i ogrzewanie podłogowe w łazienkach Ziębicka 30 w skrócie Inwestycja, w ramach której...;399000.0;75
Czerwonak;Sprzedam mieszkanie. Spokojne i przyjazne osiedleSprzedam bardzo ładne, ustawne mieszkanie 3 pokojowe 47m2 w Czerwonaku przy ul. Słonecznej. Mieszkanie położone jest w bardzo dobrej lokalizacji, gdyż w sąsiedztwie (ok 100m) znajduje się przystanek komunikacji miejskiej oraz PKP (15min do centrum Poznania). W odległości (ok 200m) znajduje się...;640000.0;47
ul. Unii Lubelskiej 10;Najważniejsze atuty ✅ Szeroki wybór mieszkań od kawalerek po 4-pokojowe ✅ Siedem lokali usługowych na parterze budynku ✅ Atrakcyjna lokalizacja w poznańskiej dzielnicy Starołęka ✅ Bliskość terenów zielonych ✅ Dobra komunikacja dzięki sąsiedztwu pętli tramwajowej Unii Lubelskiej Vita w skrócie...;655000.0;45
Unii Lubelskiej;Promocja! Lokal objęty promocją cenową! Najważniejsze atuty ✅ Szeroki wybór mieszkań od kawalerek po 4-pokojowe ✅ Siedem lokali usługowych na parterze budynku ✅ Atrakcyjna lokalizacja w poznańskiej dzielnicy Starołęka ✅ Bliskość terenów zielonych ✅ Dobra komunikacja dzięki sąsiedztwu pętli...;;54
Podolany;Nowoczesne mieszkanie 2 pokojowe na PodolanachOpis ogłoszenia: Dzień dobry, posiadam na sprzedaż nowoczesne 2 pokojowe mieszkanie na parterze w niskim 5-piętrowym bloku z 2019 roku na ul. Jasielskiej na poznańskich Podolanach. Po odświeżeniu, gotowe do wprowadzenia od zaraz. Mieszkanie sprzedaję z wyposażeniem (w tym AGD). Oferta...;;36
Wilda;po remoncie/rewitalizacja kamienicy/świetna lokalizacjaNa sprzedaż mieszkania w kamienicy przy ul. Spychalskiego 13 w Poznaniu - rozpoczyna się remont kamienicy- # LOKALIZACJA # Wilda - Dzielnica do mieszkania dla młodych aktywnych osób. Bliskość centrum miasta, komunikacji oraz licznych restauracji i kawiarni sprawia, że młode osoby chętnie...;;63
Sołacz;2 pokoje |parter |po remoncie |blisko UP |SołaczKomfortowe 2 pokojowe mieszkanie o bardzo funkcjonalnym układzie, położone na parterze w 4-bloku przy ul. Nad Wierzbakiem. Doskonała lokalizacja, bardzo dobrze skomunikowana okolica, bezpośrednie sąsiedztwo Uniwersytetu Przyrodniczego oraz Parku Sołackiego. Mieszkanie częściowo wyremontowane...;;35
Grunwald Północ;Jasne, ustawne mieszkanie 4-pokojowe na GrunwaldzieUstawne 4-pokojowe mieszkanie na Północnym Grunwaldzie w Poznaniu Mieszkanie w bardzo dobrym stanie, doskonałe dla rodziny lub jako inwestycja pod wynajem – świetna lokalizacja! Lokalizacja: Poznań Grunwald (okolica ul. Grochowskiej/Bukowskiej) Infrastruktura: szkoły, przedszkole, sklepy, apteki,...;;62
Winogrady;Doskonała lokalizacja 52m2 + balkon 12m2 + klimatyzacjaSPRZEDAM MIESZKANIE bez pośredników Świetnie zlokalizowane 2-pokojowe mieszkanie z klimatyzacją i dużym balkonem na Winogradach. Mieszkanie w pełni wyposażone i gotowe do zamieszkania. Blisko tramwaj PST oraz galerie handlowe. Wysokie sufity, przestrzeń, ogrzewanie i woda ciepła miejska. Świeżo...;;52
Trakt Napoleoński;Sceduję prawa z Umowy przedwstępnej zakupu mieszkania w inwestycji Tarasy Rokietnicy. Mieszkanie znajduje się w budynku A na trzecim piętrze (jest winda). Umowa obejmuje zakup mieszkania o pow. 44,21m2, komórki lokatorskiej o pow. 6,7m2 i naziemnego miejsca postojowego. Łączna cena za mieszkanie,...;400000.0;44
ul. Jackowskiego;Najważniejsze atuty ✅ Kolejny etap cieszącej się uznaniem inwestycji ✅ Ściany wewnętrzne i zewnętrzne w strefie wejściowej inwestycji będą zdobione mozaikami przypominającymi o mieszczących się tu dawniej zakładach odzieżowych Modena ✅ Rewitalizacja drugiej części zabytkowej alei ponad...;689000.0;41
Piątkowo;ładne mieszkanie w świetnej lokalizacjiSprzedam bardzo ładne mieszkanie 3 pokojowe w świetnej lokalizacji (3 minuty do przystanku PST). Mieszkanie jest w bloku z 2005 r., w którym są dwie duże windy. Mieszkanie ma duży balkon (kształt litery L) od cichej strony osiedla. Salon z oknami od wschodu i południa, kuchnia, 2 sypialnie( od...;519000.0;65
Rataje;Sprzedam 2 pokojowe mieszkanie os. Piastowskie 12, RatajeNa sprzedaż 2 pokojowe mieszkanie z balkonem ,wystawa okien wschodnia, o powierzchni 43,7 m2,na pierwszym piętrze ,na os. .Piastowskim, przystanek przed Rondem Rataje. Mieszkanie składa się z pokoju z otwartą kuchnią, sypialni z balkonem, łazienki i korytarza .Do lokalu mieszkalnego przynależy...;323100.0;43
Piła;Nowe 2 pokoje, ostatnie piętroMieszkanie do obejrzenia będzie dostępne w okolicach maja. Obecnie trwają końcowe odbiory inwestycji  Przedmiotem sprzedaży jest optymalne, 2 pokojowe, kompaktowe mieszkalny o powierzchni 34,7 m2. Mieszkanie jest w stanie deweloperskim. Mieszkanie składa się z salonu z aneksem kuchennym,...;330000.0;34
Skoki;Sprzedam mieszkanieSprzedam mieszkanie bezczynszowe w Skokach. Mieszkanie dwupokojowe, każdy pokój ok 16 m, kuchnia 12 m, łazienka 4,5 m, skrytka 1,5 m. przynależna piwnica 10 m. Ogrzewanie gazowe, możliwość grzania kominkiem. Można również wynajć lub kupić garaż na terenie posesji. Świetna lokalizacja! 3 minuty do...;489000.0;56
Konin;Sprzedam mieszkanieSprzedam stylowe i funkcjonalne czteropokojowe mieszkania w Koninie na renomowanym osiedlu Chorzeń przy ulicy Makowej. Jest to dobra oferta dla osób ceniących sobie wygodę i udogodnienia - ogromnym atutem są niewątpliwie rolety zewnętrzne sterowane pilotem oraz klimatyzacja. Mieszkanie usytuowane...;1868313.0;75
Stare Miasto;Luksusowy apartament na Starym Mieście w PoznaniuSaint Martin Residence przy ulicy Podgórnej 7 to unikatowa inwestycja powstająca na obszarze dawnych ogrodów willi Hipolita Cegielskiego. Będąc zaledwie kilkadziesiąt metrów od Starego Rynku, ul. Półwiejskiej i Św.Marcin zapewnia niespotykane połączenie spokoju i odpoczynku od miejskiego zgiełku...;790000.0;108
Grochowe Łąki;Grochowe Łąki, 65,7 m², 6. piętro, 2 pokoje, windaPrzestronne i stylowe mieszkanie w sercu Poznania – ul. Grochowe Łąki, 65,7 m², 6 piętro, 2 pokoje Szukasz wyjątkowego miejsca do zamieszkania w centrum Poznania? To mieszkanie to połączenie nowoczesnego komfortu, doskonałej lokalizacji i kameralnej atmosfery. Najważniejsze atuty: Przestrzeń i...;349900.0;65
Głuszyna;Okazja!Wysokie mieszkanie 49,7m2 na 1 p w PoznaniuO K A Z J A ! Na sprzedaż DWUSTRONNE mieszkanie 2-POKOJOWE z OSOBNĄ KUCHNIĄ i łazienką o metrażu 49,7m2. Mieszkanie położone na 1 PIĘTRZE. W cenie przynależna PIWNICA - dodatkowe  6 m2.  Położone w POZNANIU przy ulicy Głuszyna. Mieszkanie bardzo WYSOKIE  - sufity na wysokości 294 cm. Niezależny...;703768.0;49
ul. Miśnieńska 37;Najważniejsze atuty ✅ Unikalny, wieloetapowy projekt mieszkaniowy spełniający różnorodne oczekiwania ✅ Specjalne strefy zieleni, miejsca relaksu, obszerne place zabaw dla dzieci i punkty handlowo-usługowe ✅ Na osiedlu planowane jest również powstanie przedszkola i supermarketu ✅ Ogródki...;832416.0;69
ul. Miśnieńska 37;Najważniejsze atuty ✅ Unikalny, wieloetapowy projekt mieszkaniowy spełniający różnorodne oczekiwania ✅ Specjalne strefy zieleni, miejsca relaksu, obszerne place zabaw dla dzieci i punkty handlowo-usługowe ✅ Na osiedlu planowane jest również powstanie przedszkola i supermarketu ✅ Ogródki...;599000.0;80
Osiedle Bolesława Śmiałego;Piątkowo Bolesława Śmiałego 64m2 niski blokPrzestronne mieszkanie 64 m² na Piątkowie – idealne dla rodziny! Zapraszam do zapoznania się z ofertą wyjątkowego 2-pokojowego mieszkania o powierzchni 63,9 m², położonego na 3. piętrze niskiego bloku na osiedlu Bolesława Śmiałego w dzielnicy Piątkowo. Funkcjonalny układ – pierwotnie 3 pokoje,...;699000.0;64
Wilkońskich;Najważniejsze atuty ✅ Dogodna komunikacja z resztą Poznania ✅ Bliskość poznańskich uniwersytetów ✅ Sąsiedztwo terenów zielonych ✅ Funkcjonalne i wygodne w aranżacji mieszkania Żeromskiego w skrócie Siedmiopiętrowy budynek, w którym znajdzie się 130 mieszkań, liczących od 28 do 76 m kw. Lokale...;759999.0;52
Grunwald;GOTOWY KOMFORTOWY APARTAMENT 3–POK. /WINDA, GARAŻ/ POZNAŃ – GRUNWALDOferujemy Państwu do nabycia przestronne, słoneczne, środkowe, nowocześnie urządzone mieszkanie 3 – pokojowe o powierzchni 58,72 m2 położone na II PIĘTRZE w apartamentowcu z windą. ISTNIEJE MOŻLIWOŚĆ USUNIĘCIA ŚCIANKI TELEWIZYJNEJ (Właściciel mieszkania może ją usunąć na własny koszt). Komfortowy...;463349.0;58
ul. Mikołaja Kopernika;Najważniejsze atuty ✅ Lokalizacja w sąsiedztwie zabytkowego parku dworskiego ✅ Mieszkania o zróżnicowanych metrażach ✅ Ogródki oraz balkony przynależne do lokali ✅ Nowoczesna architektura i przemyślane rozwiązania projektowe Osiedle Gwiazdowo w skrócie Kolejny etap realizacji Osiedla Gwiazdowo, w...;619642.0;36
os. Lotnictwa Polskiego 12;W cenie każdego mieszkania zawarte jest pomieszczenie gospodarcze. Najważniejsze atuty ✅ Mieszkania gotowe do odbioru w zrealizowanym budynku ✅ Świetna lokalizacja ✅ Bliskość terenów zielonych ✅ Bogata oferta placówek edukacyjnych i ośrodków akademickich w pobliżu Osiedle Lotnictwa Polskiego w...;745000.0;33
os. Lotnictwa Polskiego 12;W cenie każdego mieszkania zawarte jest pomieszczenie gospodarcze. Najważniejsze atuty ✅ Mieszkania gotowe do odbioru w zrealizowanym budynku ✅ Świetna lokalizacja ✅ Bliskość terenów zielonych ✅ Bogata oferta placówek edukacyjnych i ośrodków akademickich w pobliżu Osiedle Lotnictwa Polskiego w...;465000.0;45
Naramowice;Polecam na sprzedaż nowoczesne, 3-pokojowe mieszkanie o powierzchni 61,5 m² zlokalizowane na 1 piętrze w 4 piętrowym bloku na poznańskich Naramowicach. Mieszkanie wykończone w wysokim standardzie, z dużym balkonem oraz funkcjonalnym układem pomieszczeń – gotowe do wprowadzenia. Układ mieszkania:...;249000.0;61
Łazarz;Polecam na sprzedaż 2-pokojowe mieszkanie o powierzchni 46,6m², zlokalizowane na Poznańskim Łazarzu! Mieszkanie znajduje się na 3. piętrze w budynku wielorodzinnym. Opis mieszkania: Mieszkanie jest funkcjonalnie zaprojektowane i składa się z: - salonu z dużymi oknami, które zapewniają naturalne...;799000.0;46
Zwycięstwa;MIESZKANIE 2– POKOJOWE, II PIĘTRO, LESZNO - ZWYCIĘSTWAOferujemy Państwu do nabycia 2 – pokojowe mieszkanie, o powierzchni 34,70 m2 położone na II piętrze w bloku po przeprowadzonej termomodernizacji. Na powierzchnię mieszkania składają się: - pokój dzienny, - sypialnia, - kuchnia, - łazienka, - przedpokój, Powierzchnię dodatkową stanowi przynależna...;399000.0;34
Wilkońskich;Najważniejsze atuty ✅ Dogodna komunikacja z resztą Poznania ✅ Bliskość poznańskich uniwersytetów ✅ Sąsiedztwo terenów zielonych ✅ Funkcjonalne i wygodne w aranżacji mieszkania Żeromskiego w skrócie Siedmiopiętrowy budynek, w którym znajdzie się 130 mieszkań, liczących od 28 do 76 m kw. Lokale...;321300.0;72
Kosmonautów;2 pokoje/kosmonautów/do remontu/oddzielna kuchniaZapraszam do zapoznania się z ofertą sprzedaży funkcjonalnego mieszkania o powierzchni 38,1m² , zlokalizowanego na os. Kosmonautów w Poznaniu , jest to idealna propozycja dla osób poszukujących przestrzeni do odświeżenia , które chcą dostosować mieszkanie do własnych potrzeb i stylu życia....;439725.0;38
Szpitalna;Najważniejsze atuty ✅ Lokalizacja blisko zieleni i w sąsiedztwie rozwiniętej infrastruktury ✅ Zróżnicowane warianty mieszkań ✅ Wewnętrzny plac zabaw na osiedlu ✅ Ładowarki do aut elektrycznych Ostoja Przylesie w skrócie Inwestycję tworzą dwa budynki, w których łącznie znajdzie się 195 mieszkań...;809600.0;27
os. Lotnictwa Polskiego 12;W cenie każdego mieszkania zawarte jest pomieszczenie gospodarcze. Najważniejsze atuty ✅ Mieszkania gotowe do odbioru w zrealizowanym budynku ✅ Świetna lokalizacja ✅ Bliskość terenów zielonych ✅ Bogata oferta placówek edukacyjnych i ośrodków akademickich w pobliżu Osiedle Lotnictwa Polskiego w...;647658.0;27
gen. Tadeusza Kutrzeby;Komfortowe mieszkanie położone w zamkniętym kompleksie „ATANER” w Poznaniu przy ulicy Kutrzeby z ochroną i monitoringiem. Mieszkanie z widokiem na Cytadelę, kilka minut do Centrum. Osiedle zamknięte, strzeżone i monitorowane z dostępem mieszkańców do sali fitness. Mieszkanie jest usytuowane na...;459000.0;50
ul. Miśnieńska 37;Najważniejsze atuty ✅ Unikalny, wieloetapowy projekt mieszkaniowy spełniający różnorodne oczekiwania ✅ Specjalne strefy zieleni, miejsca relaksu, obszerne place zabaw dla dzieci i punkty handlowo-usługowe ✅ Na osiedlu planowane jest również powstanie przedszkola i supermarketu ✅ Ogródki...;339000.0;65
Grunwaldzka;Zamieszkaj w sercu Grunwaldu – wygoda i dostępnośćSzukasz mieszkania w sercu Grunwaldu ? Zależy Ci na świetnej lokalizacji, gotowym układzie i możliwości szybkiego wprowadzenia się lub kontynuowania najmu? A może szukasz nieruchomości inwestycyjnej generującej pasywny dochód? Mam przyjemność zaprezentować Ci komfortowe, jasne mieszkanie o...;999000.0;40
Pod Lipami;Funkcjonalna kawalerka na WinogradachNa sprzedaż kawalerka 27 m² - Winogrady, os. Pod Lipami | Idealna pod wynajem Na sprzedaż funkcjonalna kawalerka o powierzchni 27 m², położona na parterze wysokiego bloku na osiedlu Pod Lipami - jednej z najbardziej pożądanych lokalizacji w poznańskich Winogradach. Lokalizacja: Rewelacyjne...;525000.0;27
Grobla;Wyjątkowe mieszkanie, centrum Poznania ul. GroblaWyjątkowe mieszkanie, centrum Poznania ul. Grobla, 86,5m2, 3 piętro, 3pok, Zapraszam do zapoznania się z ofertą sprzedaży szczególnej nieruchomości położonej w sercu Poznania położonej przy ul. Grobli. Jeżeli poszukują Państwo mieszkania w centrum miasta, a zarazem w bocznej i cichej ulicy...;629000.0;86
Kosmonautów;Przestronne | Funkcjonalne | Inwestycja| CiszaPrzestronne mieszkanie 64,9 m² - idealne dla rodziny lub jako inwestycja! Na sprzedaż funkcjonalne i komfortowe mieszkanie o powierzchni 64,9 m², położone na ostatnim 4-tym piętrze zadbanego, ocieplonego bloku na zielonym i spokojnym osiedlu Kosmonautów w Poznaniu. Idealne dla rodziny, pary, jak...;669000.0;64
Stefana Batorego;3-pokojowe mieszkanie Os. BatoregoMam przyjemność zaprezentować przestronne i jasne mieszkanie o powierzchni 63,10 m², które znajduje się na 4 piętrze budynku z 1989 roku. To miejsce ma wszystko, czego można oczekiwać od wygodnego i funkcjonalnego lokum - świetny układ pomieszczeń, staranne wykończenie i  doskonałą lokalizację....;685000.0;63
Janiny Omańkowskiej;Jasne , ciche 3 POK do wejścia| Balkon| PodolanyJeśli szukasz klimatycznego mieszkania w cichej i spokojnej okolicy na zamkniętym osiedlu  na Podolanach ta oferta jest dla Ciebie! Na sprzedaż przytulne 3 pokoje w kameralnym budynku na ul. Omańkowskiej. Mieszkanie położone jest na pierwszym piętrze w budynku z 2004 roku, na klatce znajdują się...;;56
Unii Lubelskiej;0% prowizji/Przystań Harmonii/nowe 2 pokoje/balkon/miejsce post/SYSTEM SMARTUWAGA: od 26.04.2025 do 03.05.2025 będę poza zasięgiem i będę dostępna tylko na lub whatsapp1 (z ograniczonym dostępem, odpiszę jak tylko będę miała taką możliwość). Zapraszam na prezentacje po 03.05.2025. 0% prowizji/Bielerzewskiej/Przystań Harmonii/44,91m2/balkon/miejsce postojowe w...;;44
ul. Jackowskiego;Najważniejsze atuty ✅ Kolejny etap cieszącej się uznaniem inwestycji ✅ Ściany wewnętrzne i zewnętrzne w strefie wejściowej inwestycji będą zdobione mozaikami przypominającymi o mieszczących się tu dawniej zakładach odzieżowych Modena ✅ Rewitalizacja drugiej części zabytkowej alei ponad...;;67
ul. Jackowskiego;Najważniejsze atuty ✅ Kolejny etap cieszącej się uznaniem inwestycji ✅ Ściany wewnętrzne i zewnętrzne w strefie wejściowej inwestycji będą zdobione mozaikami przypominającymi o mieszczących się tu dawniej zakładach odzieżowych Modena ✅ Rewitalizacja drugiej części zabytkowej alei ponad...;;37
